Index,Action number, actual_action dim1, actual_action dim2, cores in use dim1, cores in use dim2, number of jobs allocated, jobs in the system 
19831,4,0,0;2,8,2,2,33
19832,4,0,0;2,8,2,2,34
19833,4,0,0;2,8,2,2,35
19834,4,0,0;2,8,2,2,36
19835,4,0,0;2,8,2,2,37
19836,4,0,0;2,8,2,2,38
19837,4,0,0;2,8,2,2,39
19838,4,0,0;2,8,2,2,40
19839,4,0,0;2,8,2,2,41
19840,4,0,0;2,8,2,2,42
19841,4,0,0;2,8,2,2,43
19842,4,0,0;2,8,2,2,44
19843,4,0,0;2,8,2,2,45
19844,4,0,0;2,8,2,2,46
19845,4,0,0;2,8,2,2,47
19846,4,0,0;2,8,2,2,48
19847,4,0,0;2,8,2,2,49
19848,4,0,0;2,8,2,2,50
19849,4,0,0;2,8,2,2,51
19850,4,0,0;2,8,2,2,52
19851,4,0,0;2,8,2,2,53
19852,4,0,0;2,8,2,2,54
19853,4,0,0;2,8,2,2,55
19854,4,0,0;2,8,2,2,56
19855,4,0,0;2,8,2,2,57
19856,4,0,0;2,8,2,2,58
19857,4,0,0;2,8,2,2,59
19858,4,0,0;2,8,2,2,60
19859,4,0,0;2,8,2,2,61
19860,4,0,0;2,8,2,2,62
19861,4,0,0;2,8,2,2,63
19862,4,0,0;2,8,2,2,64
19863,4,0,0;2,8,2,2,65
19864,4,0,0;2,8,2,2,66
19865,4,0,0;2,8,2,2,67
19866,4,0,0;2,8,2,2,68
19867,4,0,0;2,8,2,2,69
19868,4,0,0;2,8,2,2,70
19869,4,0,0;2,8,2,2,71
19870,4,0,0;2,8,2,2,72
19871,4,0,0;2,8,2,2,73
19872,4,0,0;2,8,2,2,74
19873,4,0,0;2,8,2,2,75
19874,4,0,0;2,8,2,2,76
19875,4,0,0;2,8,2,2,77
19876,4,0,0;2,8,2,2,78
19877,4,0,0;2,8,2,2,79
19878,4,0,0;2,8,2,2,80
19879,4,0,0;2,8,2,2,81
19880,4,0,0;2,8,2,2,82
19881,4,0,0;2,8,2,2,83
19882,4,0,0;2,8,2,2,84
19883,4,0,0;2,8,2,2,85
19884,4,0,0;2,8,2,2,86
19885,4,0,0;2,8,2,2,87
19886,4,0,0;2,8,2,2,88
19887,4,0,0;2,8,2,2,89
19888,4,0,0;2,8,2,2,90
19889,4,0,0;2,8,2,2,91
19890,4,0,0;2,8,2,2,92
19891,4,0,0;2,8,2,2,93
19892,4,0,0;2,8,2,2,94
19893,4,0,0;2,8,2,2,95
19894,4,0,0;2,8,2,2,96
19895,1,0,0,8,2,0,99
19896,1,0,0,8,2,0,100
19897,1,0,0,8,2,0,0
19898,1,0,0,8,2,0,1
19899,1,0,0,8,2,0,2
19900,1,0,0,8,2,0,3
19901,4,0,0;2,8,2,2,2
19902,4,0,0;2,8,2,2,3
19903,4,0,0;2,8,2,2,4
19904,4,0,0;2,8,2,2,5
19905,4,0,0;2,8,2,2,6
19906,4,0,0;2,8,2,2,7
19907,4,0,0;2,8,2,2,8
19908,4,0,0;2,8,2,2,9
19909,4,0,0;2,8,2,2,10
19910,4,0,0;2,8,2,2,11
19911,4,0,0;2,8,2,2,12
19912,4,0,0;2,8,2,2,13
19913,4,0,0;2,8,2,2,14
19914,4,0,0;2,8,2,2,15
19915,4,0,0;2,8,2,2,16
19916,4,0,0;2,8,2,2,17
19917,4,0,0;2,8,2,2,18
19918,4,0,0;2,8,2,2,19
19919,4,0,0;2,8,2,2,20
19920,4,0,0;2,8,2,2,21
19921,4,0,0;2,8,2,2,22
19922,4,0,0;2,8,2,2,23
19923,4,0,0;2,8,2,2,24
19924,4,0,0;2,8,2,2,25
19925,4,0,0;2,8,2,2,26
19926,4,0,0;2,8,2,2,27
19927,4,0,0;2,8,2,2,28
19928,4,0,0;2,8,2,2,29
19929,4,0,0;2,8,2,2,30
19930,4,0,0;2,8,2,2,31
19931,4,0,0;2,8,2,2,32
19932,4,0,0;2,8,2,2,33
